data;descricao;categoria;valor
13/11/2025;açougue;mercado;258,33
14/11/2025;compra do mês;MERCADO;524,37
15/11/2025;mensalidade curso de inglês;educação;166,92
18/11/2025;material escolar;Educação;262,96
18/11/2025;livraria;lazer;135,40
22/11/2025;mensalidade curso de inglês;educação;323,25
24/11/2025;ônibus;Transporte;52,26
24/11/2025;show;lazer;134,83
26/11/2025;exame;Saúde;124,65
26/11/2025;mensalidade curso de inglês;educação;193,63
27/11/2025;sorveteria;Alimentação;66,29
27/11/2025;internet;Moradia;618,53
28/11/2025;farmácia;saúde;439,33
02/12/2025;ônibus;Transporte;77,52
02/12/2025;exame;Saúde;233,41
03/12/2025;mercadinho;Mercado;164,12
04/12/2025;farmácia;Saúde;241,69
09/12/2025;compra do mês;mercado;117,89
10/12/2025;academia;saúde;255,03
11/12/2025;curso online;EDUCAÇÃO;455,30
12/12/2025;passeio fim de semana;lazer;199,85
14/12/2025;energia elétrica;Moradia;285,03
15/12/2025;água;Moradia;675,92
15/12/2025;água;moradia;357,95
16/12/2025;delivery jantar;Alimentação;70,01
18/12/2025;hortifruti;Mercado;504,15
19/12/2025;farmácia;Saúde;230,66
20/12/2025;curso online;Educação;156,46
20/12/2025;aplicativo de corrida;Transporte;24,55
21/12/2025;passeio fim de semana;Lazer;214,07
21/12/2025;exame;SAÚDE;198,31
23/12/2025;gás;Moradia;112,91
25/12/2025;passeio fim de semana;Lazer;162,77
26/12/2025;curso online;Educação;287,32
26/12/2025;sorveteria;alimentacao;31,96
27/12/2025;material escolar;Educação;78,50
28/12/2025;curso online;Educação;178,00
28/12/2025;cinema;Lazer;42,02
